ion,charge,coordination,ionic_radius,reference,Abundance
Tm,2,8,1.147,ML Work,
Tm,3,12,1.15,ML Work,
Tm,2,12,1.35,ML Work,
U,6,2,0.45,Shannon,
U,6,3,0.484,ML Work,
U,6,4,0.52,Shannon,
U,5,2,0.524,ML Work,
U,6,5,0.629,ML Work,
U,5,5,0.694,ML Work,
U,6,6,0.73,Shannon,
U,5,6,0.76,Shannon,
U,6,7,0.81,Shannon,
U,5,7,0.84,Shannon,
U,6,8,0.86,Shannon,
U,4,6,0.89,Shannon,
U,5,8,0.898,ML Work,
U,4,7,0.95,Shannon,
U,4,8,1,Shannon,
U,3,6,1.025,Shannon,
U,4,9,1.05,Shannon,
U,4,12,1.17,Shannon,
V,5,1,0.083,ML Work,
V,5,2,0.171,ML Work,
V,4,1,0.183,ML Work,
V,4,2,0.263,ML Work,
V,5,3,0.263,ML Work,
V,4,3,0.346,ML Work,
V,5,4,0.355,Shannon,
V,4,4,0.431,ML Work,
V,3,3,0.449,ML Work,
V,5,5,0.46,Shannon,
V,3,4,0.513,ML Work,
V,4,5,0.53,Shannon,
V,5,6,0.54,Shannon,
V,3,5,0.576,ML Work,
V,4,6,0.58,Shannon,
V,5,8,0.63,ML Work,
V,3,6,0.64,Shannon,
V,4,8,0.72,Shannon,
V,2,6,0.79,Shannon,
W,6,3,0.338,ML Work,
W,6,4,0.42,Shannon,
W,6,5,0.51,Shannon,
W,6,6,0.6,Shannon,
W,5,6,0.62,Shannon,
W,4,6,0.66,Shannon,
W,6,7,0.671,ML Work,
W,5,7,0.685,ML Work,
W,6,8,0.737,ML Work,
Xe,8,4,0.4,Shannon,
Xe,8,6,0.48,Shannon,
Y,3,2,0.612,ML Work,
Y,3,3,0.686,ML Work,
Y,3,4,0.759,ML Work,
Y,3,5,0.829,ML Work,
Y,3,6,0.9,Shannon,
Y,3,7,0.96,Shannon,
Y,3,8,1.019,Shannon,
Y,2,6,1.067,ML Work,
Y,3,9,1.075,Shannon,
Y,3,10,1.126,ML Work,
Y,3,12,1.219,ML Work,
Yb,3,2,0.611,ML Work,
Yb,3,3,0.675,ML Work,
Yb,3,5,0.803,ML Work,
Yb,3,6,0.868,Shannon,
Yb,3,7,0.925,Shannon,
Yb,3,8,0.985,Shannon,
Yb,2,6,1.02,Shannon,
Yb,3,9,1.042,Shannon,
Yb,3,10,1.079,ML Work,
Yb,2,7,1.08,Shannon,
Yb,3,12,1.138,ML Work,
Yb,2,8,1.14,Shannon,
Yb,2,12,1.336,ML Work,
Zn,2,1,0.323,ML Work,
Zn,2,2,0.414,ML Work,
Zn,2,3,0.506,ML Work,
Zn,2,4,0.6,Shannon,
Zn,2,5,0.68,Shannon,
Zn,2,6,0.74,Shannon,
Zn,2,7,0.821,ML Work,
Zn,2,8,0.9,Shannon,
Zn,2,9,0.966,ML Work,
Zr,4,4,0.59,Shannon,
Zr,4,5,0.66,Shannon,
Zr,4,6,0.72,Shannon,
Zr,4,7,0.78,Shannon,
Zr,4,8,0.84,Shannon,
Zr,4,9,0.89,Shannon,
Zr,4,10,0.948,ML Work,
